epoch,class_loss,domain_loss,photo_f1,art_f1,cartoon_f1,mean_f1
1,398.3734881266769,6014.5146948627535,3.0557677616501144,2.5396825396825395,3.8924838227974115,3.1626447080433553
2,71.69867720925735,178.69243701396545,3.3091202582728005,3.0701754385964914,5.6726894668148375,4.01732838789471
3,20230.37697567969,54839.439053634924,4.102564102564102,3.5942735303076456,3.14448359989157,3.6137737442544395
4,7019162.8848536555,13959144.74837976,5.850340136054422,5.142857142857142,4.207792207792208,5.066996495567924
5,30748184.459595475,37630284.90855061,5.209888833582213,4.561530334204527,8.296598060377589,6.02267240938811
6,28405406.1447694,29298746.60029237,5.850340136054422,5.095906097910106,4.207792207792208,5.051346147252246
7,27472.282917588767,21032.921740409056,3.562870309414088,3.470505033696647,5.9549691145975485,4.3294481525694275
8,256526.10990184947,805352.7243556859,6.933629959213941,5.9044456304730275,8.42833088510395,7.08880215826364
9,34533501.719762065,32752358.001341462,2.849441663457836,2.375601926163724,4.647387442597601,3.2908103440730536
10,1740269964003.633,2011711087116.263,2.849441663457836,2.3649728347714927,1.555299539170507,2.2565713457999452
11,1731335499185.4724,1449656569278.0369,4.102564102564102,3.5942735303076456,3.14448359989157,3.6137737442544395
12,89969640316.07362,42914828825.12884,10.600015756044561,9.882045208823694,10.162923947116443,10.214994970661566
13,6807975765.98773,3485729508.7116566,14.990643090222333,8.542963474603667,10.748979436160134,11.427528666995379
14,650853830.6748466,624179975.8527608,5.139920901246405,5.380507343124165,4.100368508048991,4.8735989174731875
15,327257584.73619634,333179102.13496935,8.249319356968524,7.499607742865279,9.18079862524307,8.309908575025625
16,239615764.71165645,228550967.95092025,8.994073369154629,7.468262647915304,12.449530409871286,9.637288808980406
17,217932085.8404908,189631907.28834355,2.8962818003913893,5.178856341647039,4.60611725606273,4.2270851327003856
18,252573289.37423313,141244805.9386503,8.99000648975136,6.745216136520485,10.083368122363582,8.60619691621181
