epoch,class_loss,domain_loss,photo_f1,art_f1,cartoon_f1,mean_f1
1,3.2707477073453686,161.3103427374107,3.4330694772120918,2.863330605401305,9.19550007832521,5.163966720312869
2,84.94919147447574,1451.574686020407,5.8783321941216675,5.173900546133947,5.092815550982882,5.3816827637461655
3,8903.222916866373,38105.64732988042,4.875591039454306,3.5868893011750154,3.14448359989157,3.8689879801736304
4,86450006.9940949,264949882.79690552,4.738993222618864,3.6096665646986845,2.9064984919111603,3.751719426409569
5,2607.0964982670507,5250.836573314082,9.979320652730287,9.721177593923198,8.481832449291774,9.394110231981754
6,56268223.08673133,100738542.35178716,5.168485999050783,4.9289099613907625,7.166477422636415,5.754624461025987
7,5351481.381020949,11524932.667827956,2.9185867895545314,4.467960023515579,4.074170801775921,3.8202392049486775
8,575901451.5252857,954760436.1423415,10.587686567164178,7.137926500558807,5.492827142311678,7.739480070011555
9,660156146.3328221,952969139.8128834,2.849441663457836,2.3649728347714927,1.555299539170507,2.2565713457999452
10,164385.18008647521,84098.81561635023,10.45369852773855,12.179867222373165,12.810320688602634,11.81462881290478
11,443.61229069247565,3894.177651621813,5.775932188877948,3.896058185694424,4.885848463532009,4.852612946034793
12,953684.8896214772,2738959.0372951017,5.8511126756252105,3.132832080200501,4.66786355475763,4.550602770194447
13,34327550.746932514,72268096.57668711,5.642366607646095,6.8764537463452,5.53475888302316,6.017859745671484
14,16142008.334355827,33771249.51533742,14.180147520615863,10.781105684108331,13.033809969680929,12.665021058135041
15,5438982.175613497,9827562.403374232,8.591806247710714,7.638089564861962,7.274739030332834,7.834878280968504
16,1953829.3987730062,3320751.6226993864,11.87495564544745,10.129289257064054,9.036341230659332,10.346862044390278
17,841922.6710122699,1205679.0498466257,5.341391336670644,6.238766896693427,11.714693170460249,7.764950467941439
18,359132.49722009205,412552.76457055216,11.91409222382919,9.534806247831952,10.924859188370007,10.791252553343716
19,157307.9634298313,153745.0400690184,6.695196597157381,5.5166954587456525,9.620080165323284,7.277324073742105
