epoch,class_loss,domain_loss,photo_f1,art_f1,cartoon_f1,mean_f1
1,3.5019448428340483,37.204377564733015,3.9007207148800074,3.3927198969066206,5.16430300933933,4.152581207041986
2,2.207195113772995,0.8291916426705437,7.684393821346556,10.929492929721267,11.726752096187312,10.113546282418378
3,1.6519634869932398,0.7514322632295223,41.308661271930674,23.065137190256696,50.27262036475824,38.2154729423152
4,1.4477518987070563,0.8128693773885446,33.024109273276494,19.458090836815174,37.69388766318967,30.058695924427113
5,1.8931858616372559,1.1375132890566726,41.11214184028888,33.471327369151396,52.117278268294896,42.233582492578385
6,7.152630345953023,15.863669545189735,5.850340136054422,5.142857142857142,4.215456674473068,5.069551317794878
7,1.9207205531055942,0.6840736496667921,5.864302761677463,5.142857142857142,4.935720092794159,5.314293332442921
8,1.8953185447154601,0.6900217584305746,17.01023151847987,10.330015379357484,13.961406546939841,13.767217814925731
9,1.8332267729051275,0.6860669390555539,22.145991346725282,12.206682344968444,19.284763398185163,17.879145696626296
10,1.7611611525705255,0.6843731571560258,28.710093915666274,22.53091689041872,27.156235840522804,26.132415548869265
