epoch,class_loss,domain_loss,photo_f1,art_f1,cartoon_f1,mean_f1
1,0.536742855526187,0.0,92.66336878036354,82.07807838221426,91.0639090189227,88.6017853938335
2,0.24494528594466805,0.0,87.44402924819309,78.08795281201668,79.75384304041164,81.76194170020715
3,0.204324967199308,0.0,95.87140989904903,88.44487083476031,93.9997277084865,92.7720028140986
4,0.16107144003999677,0.0,93.54854883687328,81.87806229759957,90.80285665128221,88.74315592858504
5,0.11679220475892799,0.0,95.66828001855443,88.74247291395031,94.66153082769104,93.02409458673192
6,0.08698476395002663,0.0,95.32353253462517,89.0371964486847,92.94602629609315,92.43558509313432
7,0.09930150821975338,0.0,93.77022919519278,88.21968320765617,94.06239861847541,92.01743700710813
8,0.09706239244829938,0.0,96.77707503863854,91.55102151579759,95.06159782872811,94.46323146105475
9,0.06588638409760786,0.0,95.307716284062,88.39548158843111,95.1078086713957,92.93700218129625
10,0.08924893334442235,0.0,96.80482593294839,91.048591799124,94.54669554048436,94.13337109085224
11,0.05402784059625876,0.0,92.86966831358414,82.0195301451151,77.73473383734878,84.20797743201601
12,0.0723603864904708,0.0,95.86151811312206,90.28156700283093,94.03858512922729,93.39389008172675
13,0.065091966775607,0.0,94.23094556038795,86.21583017344943,92.59856950244708,91.01511507876148
