epoch,class_loss,domain_loss,photo_f1,art_f1,cartoon_f1,mean_f1
1,0.564776523804372,0.22727759410998571,92.42916763764583,81.14407382321829,92.74663619998566,88.7732925536166
2,0.24885345625182603,0.19138852584581434,92.39762448881228,80.24826302622347,87.34873025026822,86.66487258843466
3,0.1764332303560219,0.18009933225947655,96.2668582584549,88.15236726714836,93.82539367814306,92.74820640124877
4,0.15487435482945178,0.17612544451754517,93.78527531578162,86.229869363887,94.0678625462163,91.3610024086283
5,0.12092602147829314,0.17025529314403884,96.47746716688559,87.75562199957186,94.00166535505313,92.74491817383687
6,0.08998778772089014,0.17220244524669062,95.87016624520597,89.83246488568916,95.84336140718386,93.84866417935966
7,0.0801558611468852,0.16954847347516955,95.67763973184789,89.9482122794155,93.90381436091204,93.17655545739181
8,0.08259150021326689,0.17768194850968436,96.68114612247096,91.15019657503245,95.3868141401376,94.40605227921367
9,0.06534184184085372,0.16631228719020913,96.68051597570518,88.58879153438349,95.06170456979109,93.44367069329326
10,0.06725640320704758,0.16372975249963304,92.84879104929232,86.16004750487464,95.39655861674255,91.4684657236365
11,0.057201668362995964,0.17105011340299267,96.77625827442417,92.09011279995674,95.65165214994836,94.83934107477643
12,0.05472201864846462,0.16664532503467397,95.5613571191993,91.7098255853508,93.69313841747385,93.6547737073413
13,0.08666950195707793,0.16445617368616208,95.7026247739502,88.01484097904792,93.40773360807147,92.37506645368985
14,0.061897050692168484,0.17159136818961862,97.23589459033232,90.44641984999228,94.21998059616736,93.96743167883066
15,0.05191786529530594,0.1570378541946411,95.82108021762198,91.04438182650473,95.84795029401499,94.2378041127139
16,0.05448826961219311,0.1621641381386599,97.11664052192177,87.26560938864608,94.72238460761704,93.03487817272828
