epoch,class_loss,mmd_penalty,photo_f1,art_f1,cartoon_f1,mean_f1,worst_f1
1,2.1293653580877514,0.3892692050490624,5.850340136054422,5.142857142857142,4.215456674473068,5.069551317794878,4.215456674473068
2,2.3885260239625588,0.375187150720093,2.9185867895545314,4.467960023515579,4.074170801775921,3.8202392049486775,2.9185867895545314
3,2.1015125564020924,0.38132410978850645,3.746165550574049,2.545338848234171,4.394312583967757,3.561938994258659,2.545338848234171
4,2.21067044724766,0.3573441481631663,4.475095785440613,5.902227853447366,3.5106670267350792,4.629330221874353,3.5106670267350792
5,2.2173523378168416,0.36494370470317,16.725145798139295,10.504028818864093,9.685929763731673,12.305034793578352,9.685929763731673
6,2.0823591040749836,0.36351468277155846,2.9185867895545314,4.467960023515579,4.074170801775921,3.8202392049486775,2.9185867895545314
7,2.0953355813637757,0.3685505352436732,7.779734866042458,8.040616665953593,6.07230877312128,7.29755343503911,6.07230877312128
8,2.2408977013367872,0.3773752093856406,3.635442299350074,5.089003343272792,7.049660171577581,5.258035271400149,3.635442299350074
9,1.9554409980773926,0.3730904400889945,5.850340136054422,5.142857142857142,4.207792207792208,5.066996495567924,4.207792207792208
10,1.9356434574493995,0.3676253764802574,5.850340136054422,5.142857142857142,4.207792207792208,5.066996495567924,4.207792207792208
